time,eastward_wind_velocity,northward_wind_velocity
3693271359,-1.379999995,-5.420000076
3693271424,-0.810000002,-5.989999771
3693271457,-2.519999981,-5.46999979
3693271521,-2.700000048,-3.74000001
3693271586,-2.430000067,-4.550000191
3693271650,-1.299999952,-6.039999962
3693271714,-0.99000001,-5.090000153
3693271778,-1.850000024,-4.119999886
3693271844,-1.679999948,-4.360000134
3693271877,-2.019999981,-4.039999962
3693271941,-1.570000052,-4.159999847
3693272006,-1.649999976,-4.320000172
3693272070,-1.360000014,-4.210000038
3693272134,-1.220000029,-4.28000021
3693272199,-1.950000048,-3.690000057
3693272263,-2.75999999,-3.519999981
3693272297,-1.919999957,-4.75
3693272361,-1.230000019,-4.579999924
3693272423,-3.130000114,-3.950000048
3693272488,-1.820000052,-4.380000114
3693272553,-2.309999943,-3.380000114
3693272617,-2.970000029,-2.470000029
3693272681,-3.849999905,-3.700000048
3693272746,-3.690000057,-3.50999999
3693272778,-3.819999933,-3.940000057
3693272842,-3,-4.559999943
3693272906,-3.549999952,-3.50999999
3693272972,-3.819999933,-4.46999979
3693273036,-3.210000038,-3.789999962
3693273101,-3.190000057,-3.74000001
3693273165,-3.24000001,-4.360000134
3693273198,-2.769999981,-4.369999886
3693273262,-2.75,-4.340000153
3693273326,-2.289999962,-5.25
3693273390,-2.130000114,-4.079999924
3693273455,-3.480000019,-3.269999981
3693273519,-1.519999981,-4.650000095
3693273585,-2.99000001,-4.360000134
3693273617,-3.529999971,-3.039999962
3693273682,-2.980000019,-3.059999943
3693273747,-2.349999905,-3.720000029
3693273811,-1.870000005,-4.989999771
3693273876,-1.610000014,-4.119999886
3693273940,-2.089999914,-4.050000191
3693274005,-2.359999895,-4.769999981
3693274037,-2.650000095,-4.340000153
3693274101,-2.559999943,-3.859999895
3693274165,-1.379999995,-4.170000076
3693274231,-2.059999943,-4.989999771
3693274297,-1.789999962,-4.300000191
3693274361,-1.879999995,-4.619999886
3693274396,-2.630000114,-3.809999943
3693274457,-3.410000086,-4.130000114
3693274522,-2.809999943,-3.819999933
3693274586,-3.720000029,-3.720000029
3693274650,-1.620000005,-5.230000019
3693274715,-0.439999998,-4.650000095
3693274779,-0.870000005,-5.389999866
3693274844,-0.059999999,-6.110000134
3693274876,-0.360000014,-6.309999943
3693274941,-0.469999999,-5.760000229
3693275006,-0.899999976,-5.570000172
3693275070,-0.74000001,-5.679999828
3693275134,-0.930000007,-6.53000021
3693275199,-0.800000012,-5.199999809
3693275263,-0.119999997,-6.71999979
3693275296,-0.839999974,-6.110000134
3693275361,-0.660000026,-5.670000076
3693275425,0.200000003,-4.840000153
3693275490,1.50999999,-5.889999866
3693275554,-1.179999948,-6.050000191
3693275619,-1.580000043,-5.789999962
3693275683,-1.370000005,-5.260000229
3693275716,-1.610000014,-5.269999981
3693275781,-3.25,-5.389999866
3693275845,-2.019999981,-5.190000057
3693275909,-1.870000005,-4.809999943
3693275973,-1.169999957,-5.510000229
3693276038,-2.349999905,-5.21999979
3693276102,-1.210000038,-6.320000172
3693276136,-3.279999971,-5.440000057
3693276202,-2.170000076,-5.710000038
3693276266,-2.140000105,-6.440000057
3693276331,-2.150000095,-4.989999771
3693276395,-1.309999943,-5.139999866
3693276460,-3.00999999,-5.940000057
3693276524,-3.059999943,-6.239999771
3693276556,-1.429999948,-5.639999866
3693276621,-2.019999981,-5.159999847
3693276685,-1.440000057,-4.929999828
3693276750,-0.569999993,-6.449999809
3693276816,-0.519999981,-5.739999771
3693276881,-2.079999924,-5.489999771
3693276945,-2.180000067,-5.119999886
3693276977,-1.809999943,-5.360000134
3693277042,-2.539999962,-4.889999866
3693277106,-1.529999971,-5.690000057
3693277171,-1.419999957,-6.099999905
3693277235,-1.210000038,-5.260000229
3693277299,-2.329999924,-4.579999924
3693277364,-2.569999933,-5.059999943
3693277396,-2.140000105,-5.03000021
3693277461,-2.730000019,-4.789999962
3693277526,-2.029999971,-6.079999924
3693277591,-3.079999924,-5.260000229
3693277656,-1.639999986,-6.070000172
3693277721,-0.850000024,-5.929999828
3693277785,-2.700000048,-3.930000067
3693277818,-2.529999971,-5.309999943
3693277882,-2.670000076,-5.190000057
3693277946,-1.289999962,-4.71999979
3693278011,-1.279999971,-5.130000114
3693278078,-2.75999999,-4.53000021
3693278142,-3.089999914,-4.46999979
3693278178,-1.330000043,-4.940000057
3693278238,-1.299999952,-5
3693278302,-0.389999986,-5.449999809
3693278366,-2.779999971,-4.800000191
3693278431,-2.269999981,-5.550000191
3693278495,-1.799999952,-6.170000076
3693278559,-1.75999999,-4.820000172
3693278624,-1.970000029,-4.909999847
3693278656,-3.450000048,-4.53000021
3693278721,-0.779999971,-4.840000153
3693278785,-2.390000105,-5.75
3693278849,-2,-5.090000153
3693278914,-1.99000001,-4.710000038
3693278978,-1.460000038,-4.420000076
3693279043,-0.709999979,-5.829999924
3693279076,-2.099999905,-5.920000076
3693279141,-1.850000024,-5.409999847
3693279205,-1.940000057,-4.949999809
3693279269,-1.059999943,-4.800000191
3693279334,-2.25999999,-5
3693279398,-3.359999895,-4.710000038
3693279463,-0.910000026,-5.690000057
3693279496,-2.819999933,-5.840000153
3693279561,-2.5,-5.230000019
3693279625,-2.190000057,-5.190000057
3693279690,-1.669999957,-5.71999979
3693279755,-3.099999905,-5.46999979
3693279819,-1.75999999,-4.670000076
3693279884,-2.119999886,-4.460000038
3693279916,-2.940000057,-4.679999828
3693279981,-2.369999886,-4.710000038
3693280046,-2.420000076,-5.159999847
3693280111,-2.170000076,-4.480000019
3693280176,-0.889999986,-4.880000114
3693280240,-2.039999962,-4.360000134
3693280304,-2.049999952,-4.260000229
3693280337,-2.039999962,-5.420000076
3693280401,-2.49000001,-4.610000134
3693280466,-1.529999971,-5.340000153
3693280530,-1.120000005,-6.289999962
3693280595,-1.25999999,-6.190000057
3693280659,-1.169999957,-5.46999979
3693280724,-0.980000019,-5.659999847
3693280758,-1.75999999,-5.769999981
3693280822,-1.080000043,-5.159999847
3693280886,-1.929999948,-5.039999962
3693280951,-1.019999981,-5.639999866
3693281015,-2.700000048,-5.360000134
3693281080,-0.779999971,-5.510000229
3693281144,0.310000002,-5.96999979
3693281177,-0.419999987,-5.369999886
3693281242,-2.119999886,-5.860000134
3693281306,-1.49000001,-5.139999866
3693281370,-0.689999998,-6.28000021
3693281435,-1.330000043,-6.670000076
3693281500,-1.710000038,-5.46999979
3693281564,-0.430000007,-5.650000095
3693281596,-1.110000014,-5.230000019
3693281661,-1.49000001,-5.110000134
3693281725,-1.679999948,-5.420000076
3693281789,-1.360000014,-5.159999847
3693281855,-1.840000033,-6.550000191
3693281919,-0.449999988,-5.449999809
3693281984,-0.540000021,-4.420000076
3693282016,-0.829999983,-5.369999886
3693282081,-0.790000021,-5.949999809
3693282145,-2.160000086,-5.880000114
3693282210,-0.50999999,-5.679999828
3693282274,0.340000004,-5.179999828
3693282338,-0.150000006,-5.360000134
3693282402,-0.170000002,-5.739999771
3693282465,-1.269999981,-6.260000229
3693282498,-0.330000013,-5.230000019
3693282562,-0.910000026,-4.78000021
3693282626,-0.720000029,-4.940000057
3693282691,-0.699999988,-5.590000153
3693282756,-0.050000001,-5.900000095
3693282820,0.090000004,-4.820000172
3693282884,-1.450000048,-5.260000229
3693282917,-1.269999981,-6.079999924
3693282981,-1.690000057,-5.019999981
3693283046,-1.460000038,-5.28000021
3693283111,-0.629999995,-4.539999962
3693283175,-1.860000014,-4.889999866
3693283239,-1.299999952,-5.760000229
3693283304,-1.350000024,-5.179999828
3693283337,-1.700000048,-5.019999981
3693283402,-1.850000024,-5.420000076
3693283467,-1.570000052,-5.929999828
3693283531,-0.949999988,-5.809999943
3693283595,-1.639999986,-5.25
3693283659,-2.269999981,-4.670000076
3693283725,-0.360000014,-5.78000021
3693283757,-1.590000033,-5.849999905
3693283821,-0.540000021,-5.46999979
3693283886,-1.269999981,-5.039999962
3693283950,-2.460000038,-4.449999809
3693284017,-2.480000019,-5.460000038
3693284081,-1.99000001,-3.690000057
3693284117,-1.149999976,-3.950000048
3693284177,-1.919999957,-5.28000021
3693284242,-2.900000095,-4.949999809
3693284305,-2.140000105,-4.230000019
3693284369,-2.910000086,-3.960000038
3693284434,-2.140000105,-4.449999809
3693284498,-2.529999971,-3.950000048
3693284562,-3.660000086,-3.849999905
3693284596,-2.400000095,-4.639999866
3693284662,-2.289999962,-4.480000019
3693284727,-2.039999962,-4.610000134
3693284791,-1.350000024,-4.389999866
3693284856,-3.299999952,-4.210000038
3693284921,-1.929999948,-4.46999979
3693284985,-2.690000057,-3.970000029
3693285017,-3.150000095,-4.329999924
3693285082,-2.519999981,-4.309999943
3693285146,-2.329999924,-4.570000172
3693285211,-2.440000057,-4.309999943
3693285277,-2.269999981,-4.369999886
3693285341,-1.669999957,-4.460000038
3693285377,-2.75999999,-3.25
3693285438,-2.25,-5.349999905
3693285502,-2.470000029,-4.289999962
